,team1,team2,date,score,winner,elo1,elo2
10987,nlg,alternate attax,2020-09-16 17:00:00+00:00,0 - 1,alternate attax,1323.381302333776,1581.9684991248266
10988,skade,endpoint,2020-09-16 17:30:00+00:00,1 - 0,skade,1495.5547886546078,1486.6791054882317
10989,saw,sprout,2020-09-16 17:30:00+00:00,0 - 1,sprout,1584.5337930103424,1678.8051039657905
10990,og,ence,2020-09-16 15:30:00+00:00,2 - 1,og,1658.4725989619865,1657.730882189046
10991,sector one,game fist,2020-09-16 18:00:00+00:00,1 - 0,sector one,1354.8474804972514,1336.5616423070037
10992,fragbox,jerseyboys,2020-09-16 18:00:00+00:00,1 - 0,fragbox,1430.1128870689988,1386.3110229376096
10993,prifu,fly1nghirsch,2020-09-16 18:00:00+00:00,0 - 1,fly1nghirsch,1286.5348200071837,1323.2319343905056
10994,alternate attax,nlg,2020-09-16 18:15:00+00:00,1 - 0,alternate attax,1581.9684991248266,1323.381302333776
10995,avez,skade,2020-09-16 18:45:00+00:00,0 - 1,skade,1505.178480541375,1495.5547886546078
10996,unique,apologis,2020-09-16 20:00:00+00:00,1 - 0,unique,1361.0373832957903,1386.94468898867
10997,myinsanity,kingzzz,2020-09-16 19:00:00+00:00,0 - 1,kingzzz,1341.7914415037196,1587.3466089066092
10998,jerseyboys,fragbox,2020-09-16 19:00:00+00:00,1 - 0,jerseyboys,1386.3110229376096,1430.1128870689988
10999,kingzzz,myinsanity,2020-09-16 20:00:00+00:00,1 - 0,kingzzz,1587.3466089066092,1341.7914415037196
11000,sparx,red instinct,2020-09-16 19:00:00+00:00,0 - 1,red instinct,1417.3388331446224,1549.8315807423908
11001,fly1nghirsch,prifu,2020-09-16 19:00:00+00:00,1 - 0,fly1nghirsch,1323.2319343905056,1286.5348200071837
11002,exalty,fwrd,2020-09-16 19:00:00+00:00,0 - 1,fwrd,1358.362994924892,1319.9884955048312
11003,red instinct,sparx,2020-09-16 20:00:00+00:00,1 - 0,red instinct,1549.8315807423908,1417.3388331446224
